"Report Name","CPA Report"
"Day of","05/17/2026"
"Placement Name","Issuer","Card Name","Tier","Current Net CPA","Previous Net CPA","Percent Change","Date Change of Current Net CPA"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","Marriott Bonvoy Brilliant(R) American Express(R) Card","","240","60","300.00%","2026-05-14"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Self","secured Self Visa(R) Credit Card","","18","25.5","-29.41%","2026-05-11"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Bank of America","Atmos(TM) Rewards Ascent Visa Signature(R) credit card","","90","150","-40.00%","2026-05-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Bank of America","Atmos(TM) Rewards Summit Visa Infinite(R) credit card","","90","150","-40.00%","2026-05-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Bank of America","Bank of America(R) Customized Cash Rewards credit card for Students","","60","120","-50.00%","2026-05-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Bank of America","Bank of America(R) Travel Rewards credit card for Students","","60","120","-50.00%","2026-05-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Quicksilver Cash Rewards Credit Card [Qualified_30]","","270","180","50.00%","2026-05-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Ink Business Cash(SM) Credit Card","","570","360","58.33%","2026-05-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Ink Business Unlimited(R) Credit Card","","570","360","58.33%","2026-05-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Southwest Rapid Rewards(R) Plus Credit Card","","60","27","122.22%","2026-05-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Southwest Rapid Rewards(R) Priority Credit Card","","60","27","122.22%","2026-05-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Southwest(R) Rapid Rewards(R) Performance Business Credit Card","","111","27","311.11%","2026-05-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Southwest(R) Rapid Rewards(R) Premier Business Credit Card","","111","27","311.11%","2026-05-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Wells Fargo","Wells Fargo Active Cash (R) Card","","135","150","-10.00%","2026-05-01"
